noise_type,noise_intensity,diffusion_type,diffusion_constant_xx,diffusion_constant_xy,diffusion_constant_yy,spatial_correlation,temporal_correlation,linear_cross_correlation_mean,linear_cross_correlation_std
correlated,0.5,anisotropic,0.75,0.0,0.75,0.5,0.1,"[0.54682799 0.41927337 0.4242103  0.42899094 0.43432626 0.4289961
 0.42422008 0.41928792]","[0.0029985  0.00361047 0.00355111 0.00351529 0.00350125 0.00351297
 0.00354645 0.00360317]"
correlated,0.75,anisotropic,0.75,0.0,0.75,0.5,0.1,"[0.50989323 0.37907812 0.38382807 0.38842766 0.39356092 0.38841715
 0.38380815 0.37904846]","[0.00242576 0.00301084 0.00296365 0.00293735 0.00293114 0.00292013
 0.00293456 0.00297319]"
correlated,1.0,anisotropic,0.75,0.0,0.75,0.5,0.1,"[0.48039255 0.34800455 0.3525721  0.35699506 0.36193119 0.35698239
 0.35254809 0.34796882]","[0.00199334 0.00247298 0.00248013 0.00250881 0.00256519 0.00252868
 0.00251758 0.00252785]"
correlated,0.05,anisotropic,1.5,0.0,0.0,0.5,0.5,"[0.50436098 0.37281209 0.35196298 0.33177389 0.30924236 0.24747816
 0.19213515 0.13498287]","[0.00503475 0.0061284  0.006377   0.00663041 0.00692626 0.00765197
 0.00832441 0.00903567]"
correlated,0.1,anisotropic,1.5,0.0,0.0,0.5,0.5,"[0.49953757 0.37002797 0.34971515 0.33004537 0.30809339 0.24890026
 0.19586103 0.14108783]","[0.00533163 0.00651629 0.00682101 0.00713325 0.00749907 0.00819802
 0.00885029 0.00954411]"
correlated,0.16,anisotropic,1.5,0.0,0.0,0.5,0.5,"[0.49300766 0.36515992 0.34525587 0.32598193 0.30447172 0.24704323
 0.19558518 0.14244486]","[0.00469181 0.00570791 0.00597535 0.00624793 0.00656587 0.00718466
 0.00775986 0.00837   ]"
correlated,0.2,anisotropic,1.5,0.0,0.0,0.5,0.5,"[0.48983635 0.36265594 0.34293683 0.32384197 0.30253162 0.2459601
 0.19526992 0.14292257]","[0.00410009 0.00494497 0.00515763 0.00538342 0.00565557 0.00622357
 0.00676111 0.00733808]"
correlated,0.24,anisotropic,1.5,0.0,0.0,0.5,0.5,"[0.48801101 0.36148185 0.34192351 0.32298432 0.30184771 0.24616698
 0.19627499 0.14475193]","[0.00396398 0.00467483 0.00488015 0.00509762 0.00535922 0.00589601
 0.00640488 0.00695171]"
correlated,0.28,anisotropic,1.5,0.0,0.0,0.5,0.5,"[0.48565059 0.3598161  0.34043057 0.32165874 0.30070889 0.24572927
 0.19646551 0.1455912 ]","[0.00407393 0.00489211 0.00508433 0.00528458 0.00552257 0.0060483
 0.00654072 0.00706577]"
correlated,0.32,anisotropic,1.5,0.0,0.0,0.5,0.5,"[0.48349022 0.35812711 0.33889773 0.3202771  0.299496   0.24523556
 0.19661621 0.14640738]","[0.00393447 0.00481613 0.00500963 0.00521524 0.00546338 0.0059637
 0.00643803 0.00694814]"
